Time;Ecg 1;Ecg 2
'[15:50:00.000]';-0.59;0.145
'[15:50:00.004]';-0.59;0.155
'[15:50:00.008]';-0.59;0.155
'[15:50:00.012]';-0.565;0.16
'[15:50:00.016]';-0.575;0.175
'[15:50:00.020]';-0.575;0.155
'[15:50:00.024]';-0.575;0.175
'[15:50:00.028]';-0.585;0.155
'[15:50:00.032]';-0.565;0.17
'[15:50:00.036]';-0.57;0.155
'[15:50:00.040]';-0.575;0.15
'[15:50:00.044]';-0.57;0.15
'[15:50:00.048]';-0.585;0.145
'[15:50:00.052]';-0.59;0.145
'[15:50:00.056]';-0.565;0.15
'[15:50:00.060]';-0.53;0.145
'[15:50:00.064]';-0.465;0.135
'[15:50:00.068]';-0.38;0.13
'[15:50:00.072]';-0.27;0.155
'[15:50:00.076]';-0.245;0.19
'[15:50:00.080]';-0.35;0.245
'[15:50:00.084]';-0.535;0.315
'[15:50:00.088]';-0.745;0.315
'[15:50:00.092]';-1.125;0.035
'[15:50:00.096]';-1.515;-0.56
'[15:50:00.100]';-1.845;-1.23
'[15:50:00.104]';-2.145;-2.07
'[15:50:00.108]';-2.205;-3
'[15:50:00.112]';-2.13;-3.8
'[15:50:00.116]';-2;-4.36
'[15:50:00.120]';-1.985;-4.7
'[15:50:00.124]';-2.05;-4.945
'[15:50:00.128]';-2.055;-5.065
'[15:50:00.132]';-2.035;-5.11
'[15:50:00.136]';-2;-5.095
'[15:50:00.140]';-2.01;-5
'[15:50:00.144]';-2;-4.865
'[15:50:00.148]';-1.965;-4.755
'[15:50:00.152]';-1.935;-4.66
'[15:50:00.156]';-1.93;-4.515
'[15:50:00.160]';-1.815;-4.43
'[15:50:00.164]';-1.615;-4.245
'[15:50:00.168]';-1.385;-3.93
'[15:50:00.172]';-1.23;-3.62
'[15:50:00.176]';-1.13;-3.21
'[15:50:00.180]';-1.02;-2.76
'[15:50:00.184]';-0.905;-2.26
'[15:50:00.188]';-0.745;-1.75
'[15:50:00.192]';-0.585;-1.325
'[15:50:00.196]';-0.45;-0.945
'[15:50:00.200]';-0.335;-0.605
'[15:50:00.204]';-0.27;-0.335
'[15:50:00.208]';-0.22;-0.14
'[15:50:00.212]';-0.215;0.055
'[15:50:00.216]';-0.215;0.255
'[15:50:00.220]';-0.19;0.415
'[15:50:00.224]';-0.155;0.555
'[15:50:00.228]';-0.155;0.705
'[15:50:00.232]';-0.125;0.82
'[15:50:00.236]';-0.115;0.885
'[15:50:00.240]';-0.11;0.915
'[15:50:00.244]';-0.08;0.935
'[15:50:00.248]';-0.075;0.94
'[15:50:00.252]';-0.05;0.98
'[15:50:00.256]';-0.04;1.015
'[15:50:00.260]';-0.04;1.06
'[15:50:00.264]';-0.05;1.04
'[15:50:00.268]';-0.04;1.055
'[15:50:00.272]';-0.03;1.08
'[15:50:00.276]';-0.035;1.09
'[15:50:00.280]';-0.03;1.065
'[15:50:00.284]';0;1.09
'[15:50:00.288]';0;1.075
'[15:50:00.292]';0;1.085
'[15:50:00.296]';0;1.115
'[15:50:00.300]';0.015;1.14
'[15:50:00.304]';-0.005;1.15
'[15:50:00.308]';0.015;1.17
'[15:50:00.312]';0.015;1.205
'[15:50:00.316]';0.03;1.2
'[15:50:00.320]';0.035;1.195
'[15:50:00.324]';0.035;1.215
'[15:50:00.328]';0.04;1.22
'[15:50:00.332]';0.03;1.245
'[15:50:00.336]';0.055;1.265
'[15:50:00.340]';0.09;1.275
'[15:50:00.344]';0.085;1.325
'[15:50:00.348]';0.1;1.315
'[15:50:00.352]';0.11;1.345
'[15:50:00.356]';0.105;1.395
