'Time';'ECG1';'ECG2'
'[09:00:00.000]';-0.05;-0.14
'[09:00:00.004]';-0.03;-0.12
'[09:00:00.008]';0;-0.095
'[09:00:00.012]';0.01;-0.105
'[09:00:00.016]';0;-0.12
'[09:00:00.020]';-0.02;-0.125
'[09:00:00.024]';-0.025;-0.135
'[09:00:00.028]';-0.02;-0.15
'[09:00:00.032]';0;-0.16
'[09:00:00.036]';0;-0.15
'[09:00:00.040]';0.03;-0.17
'[09:00:00.044]';0.03;-0.165
'[09:00:00.048]';0.01;-0.155
'[09:00:00.052]';-0.01;-0.155
'[09:00:00.056]';-0.01;-0.15
'[09:00:00.060]';0.01;-0.15
'[09:00:00.064]';0.025;-0.15
'[09:00:00.068]';0.03;-0.145
'[09:00:00.072]';0.05;-0.14
'[09:00:00.076]';0.05;-0.135
'[09:00:00.080]';0.05;-0.125
'[09:00:00.084]';0.055;-0.125
'[09:00:00.088]';0.065;-0.12
'[09:00:00.092]';0.07;-0.135
'[09:00:00.096]';0.045;-0.14
'[09:00:00.100]';0.015;-0.14
'[09:00:00.104]';0;-0.145
'[09:00:00.108]';0.015;-0.165
'[09:00:00.112]';0.005;-0.155
'[09:00:00.116]';0.04;-0.145
'[09:00:00.120]';0.04;-0.155
'[09:00:00.124]';0.035;-0.17
'[09:00:00.128]';0.035;-0.18
'[09:00:00.132]';0.025;-0.16
'[09:00:00.136]';0.03;-0.155
'[09:00:00.140]';0.03;-0.165
'[09:00:00.144]';0.025;-0.16
'[09:00:00.148]';0.025;-0.16
'[09:00:00.152]';0.015;-0.16
'[09:00:00.156]';0.025;-0.15
'[09:00:00.160]';0.01;-0.16
'[09:00:00.164]';0.015;-0.16
'[09:00:00.168]';0.015;-0.15
'[09:00:00.172]';0.04;-0.145
'[09:00:00.176]';0.055;-0.135
'[09:00:00.180]';0.035;-0.145
'[09:00:00.184]';0.015;-0.145
'[09:00:00.188]';0.02;-0.13
'[09:00:00.192]';0.055;-0.135
'[09:00:00.196]';0.045;-0.14
'[09:00:00.200]';0.04;-0.14
'[09:00:00.204]';0.04;-0.135
'[09:00:00.208]';0.07;-0.125
'[09:00:00.212]';0.075;-0.12
'[09:00:00.216]';0.07;-0.105
'[09:00:00.220]';0.035;-0.105
'[09:00:00.224]';0.02;-0.105
'[09:00:00.228]';0.035;-0.095
'[09:00:00.232]';0.015;-0.105
'[09:00:00.236]';-0.005;-0.105
'[09:00:00.240]';-0.04;-0.1
'[09:00:00.244]';-0.04;-0.105
'[09:00:00.248]';-0.03;-0.1
'[09:00:00.252]';-0.01;-0.105
'[09:00:00.256]';-0.02;-0.11
'[09:00:00.260]';-0.005;-0.11
'[09:00:00.264]';-0.005;-0.115
'[09:00:00.268]';-0.01;-0.105
'[09:00:00.272]';0.01;-0.115
'[09:00:00.276]';0;-0.105
'[09:00:00.280]';0.025;-0.1
'[09:00:00.284]';0.05;-0.115
'[09:00:00.288]';0.045;-0.12
'[09:00:00.292]';0.02;-0.115
'[09:00:00.296]';-0.005;-0.125
'[09:00:00.300]';0.01;-0.13
'[09:00:00.304]';0.02;-0.125
'[09:00:00.308]';0.03;-0.125
'[09:00:00.312]';0.04;-0.125
'[09:00:00.316]';0.02;-0.125
'[09:00:00.320]';0.045;-0.13
'[09:00:00.324]';0.03;-0.125
'[09:00:00.328]';0.045;-0.13
'[09:00:00.332]';0.05;-0.115
'[09:00:00.336]';0.045;-0.12
'[09:00:00.340]';0.055;-0.13
'[09:00:00.344]';0.04;-0.115
'[09:00:00.348]';0.055;-0.125
'[09:00:00.352]';0.075;-0.115
'[09:00:00.356]';0.115;-0.13
'[09:00:00.360]';0.1;-0.125
'[09:00:00.364]';0.04;-0.12
'[09:00:00.368]';-0.025;-0.13
'[09:00:00.372]';-0.015;-0.12
'[09:00:00.376]';0.01;-0.12
'[09:00:00.380]';0.03;-0.115
'[09:00:00.384]';0.035;-0.115
'[09:00:00.388]';0.01;-0.12
'[09:00:00.392]';0.01;-0.125
'[09:00:00.396]';0.01;-0.13
'[09:00:00.400]';0.035;-0.135
'[09:00:00.404]';0.06;-0.115
'[09:00:00.408]';0.04;-0.11
'[09:00:00.412]';0.02;-0.11
'[09:00:00.416]';0.005;-0.105
'[09:00:00.420]';0.005;-0.105
'[09:00:00.424]';0.015;-0.11
'[09:00:00.428]';0.015;-0.1
'[09:00:00.432]';0.02;-0.095
'[09:00:00.436]';0.01;-0.085
'[09:00:00.440]';0.05;-0.09
'[09:00:00.444]';0.04;-0.1
'[09:00:00.448]';0.055;-0.115
'[09:00:00.452]';0.085;-0.11
'[09:00:00.456]';0.06;-0.09
'[09:00:00.460]';0.05;-0.1
'[09:00:00.464]';0.025;-0.095
'[09:00:00.468]';0.03;-0.095
'[09:00:00.472]';0.03;-0.1
'[09:00:00.476]';0.035;-0.105
'[09:00:00.480]';0.05;-0.1
'[09:00:00.484]';0.09;-0.11
'[09:00:00.488]';0.08;-0.105
'[09:00:00.492]';0.065;-0.11
'[09:00:00.496]';0.06;-0.11
'[09:00:00.500]';0.05;-0.115
'[09:00:00.504]';0.04;-0.11
'[09:00:00.508]';0.015;-0.1
'[09:00:00.512]';0.015;-0.105
'[09:00:00.516]';0.02;-0.115
'[09:00:00.520]';0.07;-0.115
'[09:00:00.524]';0.1;-0.115
'[09:00:00.528]';0.04;-0.105
'[09:00:00.532]';0.04;-0.095
'[09:00:00.536]';0.08;-0.06
'[09:00:00.540]';0.095;-0.05
'[09:00:00.544]';0.005;-0.03
'[09:00:00.548]';-0.065;0.005
'[09:00:00.552]';-0.05;-0.005
'[09:00:00.556]';0.025;-0.03
'[09:00:00.560]';0.085;-0.035
'[09:00:00.564]';0.07;-0.02
'[09:00:00.568]';0.04;0.015
'[09:00:00.572]';0.02;0.025
'[09:00:00.576]';-0.07;0.045
'[09:00:00.580]';-0.255;0.05
'[09:00:00.584]';-0.375;0.06
'[09:00:00.588]';-0.37;0.07
'[09:00:00.592]';-0.32;0.05
'[09:00:00.596]';-0.25;0.02
'[09:00:00.600]';-0.14;-0.03
'[09:00:00.604]';-0.1;-0.09
'[09:00:00.608]';-0.09;-0.115
'[09:00:00.612]';-0.07;-0.11
'[09:00:00.616]';-0.02;-0.11
'[09:00:00.620]';0.02;-0.12
'[09:00:00.624]';0.045;-0.13
'[09:00:00.628]';0.07;-0.1
'[09:00:00.632]';0.05;-0.09
'[09:00:00.636]';0.04;-0.095
'[09:00:00.640]';0.045;-0.1
'[09:00:00.644]';0.06;-0.1
'[09:00:00.648]';0.05;-0.105
'[09:00:00.652]';0.07;-0.11
'[09:00:00.656]';0.075;-0.12
'[09:00:00.660]';0.095;-0.13
'[09:00:00.664]';0.11;-0.135
'[09:00:00.668]';0.095;-0.13
'[09:00:00.672]';0.055;-0.125
'[09:00:00.676]';0.025;-0.12
'[09:00:00.680]';0.04;-0.115
'[09:00:00.684]';0.08;-0.12
'[09:00:00.688]';0.08;-0.125
'[09:00:00.692]';0.07;-0.12
'[09:00:00.696]';0.085;-0.115
'[09:00:00.700]';0.085;-0.105
'[09:00:00.704]';0.1;-0.115
'[09:00:00.708]';0.1;-0.125
'[09:00:00.712]';0.1;-0.115
'[09:00:00.716]';0.105;-0.105
'[09:00:00.720]';0.105;-0.095
'[09:00:00.724]';0.115;-0.11
'[09:00:00.728]';0.155;-0.125
'[09:00:00.732]';0.22;-0.15
'[09:00:00.736]';0.21;-0.145
'[09:00:00.740]';0.14;-0.125
'[09:00:00.744]';0.11;-0.145
'[09:00:00.748]';0.13;-0.145
'[09:00:00.752]';0.14;-0.13
'[09:00:00.756]';0.195;-0.125
'[09:00:00.760]';0.155;-0.115
'[09:00:00.764]';0.05;-0.115
