'Elapsed time';'ECG1';'ECG2'
'0:00.000';-1.285;0.24
'0:00.004';0.42;0.28
'0:00.008';1.35;0.41
'0:00.012';-0.47;0.47
'0:00.016';-1.55;0.35
'0:00.020';0.2;0.395
'0:00.024';1.36;0.495
'0:00.028';-0.275;0.485
'0:00.032';-1.64;0.4
'0:00.036';-0.135;0.39
'0:00.040';1.47;0.505
'0:00.044';0.29;0.54
'0:00.048';-1.57;0.415
'0:00.052';-0.62;0.355
'0:00.056';1.27;0.395
'0:00.060';0.55;0.47
'0:00.064';-1.53;0.345
'0:00.068';-1.13;0.205
'0:00.072';0.915;0.25
'0:00.076';0.675;0.31
'0:00.080';-1.445;0.21
'0:00.084';-1.305;0.055
'0:00.088';0.765;0.06
'0:00.092';0.715;0.14
'0:00.096';-1.41;0.05
'0:00.100';-1.45;-0.105
'0:00.104';0.63;-0.105
'0:00.108';0.605;-0.015
'0:00.112';-1.465;-0.06
'0:00.116';-1.44;-0.19
'0:00.120';0.685;-0.13
'0:00.124';0.76;-0.08
'0:00.128';-1.375;-0.1
'0:00.132';-1.53;-0.195
'0:00.136';0.545;-0.17
'0:00.140';0.715;-0.09
'0:00.144';-1.315;-0.12
'0:00.148';-1.605;-0.21
'0:00.152';0.445;-0.16
'0:00.156';1.015;-0.055
'0:00.160';-0.91;-0.07
'0:00.164';-1.765;-0.21
'0:00.168';0.1;-0.18
'0:00.172';1.19;-0.06
'0:00.176';-0.48;-0.075
'0:00.180';-1.885;-0.195
'0:00.184';-0.375;-0.205
'0:00.188';1.14;-0.11
'0:00.192';-0.195;-0.025
'0:00.196';-1.83;-0.15
'0:00.200';-0.585;-0.195
'0:00.204';1.14;-0.09
'0:00.208';0.155;-0.035
'0:00.212';-1.685;-0.125
'0:00.216';-0.8;-0.18
'0:00.220';1.065;-0.12
'0:00.224';0.22;-0.03
'0:00.228';-1.675;-0.13
'0:00.232';-0.965;-0.21
'0:00.236';1.01;-0.12
'0:00.240';0.42;-0.055
'0:00.244';-1.58;-0.06
'0:00.248';-1.025;-0.16
'0:00.252';0.945;-0.11
'0:00.256';0.495;-0.03
'0:00.260';-1.53;-0.09
'0:00.264';-1.28;-0.16
'0:00.268';0.785;-0.105
'0:00.272';0.725;-0.02
'0:00.276';-1.32;-0.105
'0:00.280';-1.495;-0.21
'0:00.284';0.57;-0.165
'0:00.288';0.985;-0.06
'0:00.292';-1.015;-0.075
'0:00.296';-1.75;-0.21
'0:00.300';0.155;-0.205
'0:00.304';1.015;-0.07
'0:00.308';-0.875;-0.055
'0:00.312';-1.8;-0.2
'0:00.316';0.005;-0.2
'0:00.320';1.12;-0.09
'0:00.324';-0.515;-0.07
'0:00.328';-1.85;-0.24
'0:00.332';-0.245;-0.2
'0:00.336';1.165;-0.11
'0:00.340';-0.235;-0.08
'0:00.344';-1.795;-0.215
'0:00.348';-0.455;-0.25
'0:00.352';1.11;-0.15
'0:00.356';-0.15;-0.07
'0:00.360';-1.745;-0.145
'0:00.364';-0.42;-0.25
'0:00.368';1.13;-0.13
'0:00.372';-0.13;-0.1
'0:00.376';-1.76;-0.19
'0:00.380';-0.525;-0.225
'0:00.384';1.145;-0.125
'0:00.388';-0.045;-0.095
'0:00.392';-1.705;-0.21
'0:00.396';-0.505;-0.2
'0:00.400';1.21;-0.12
'0:00.404';0.105;-0.07
'0:00.408';-1.64;-0.17
'0:00.412';-0.575;-0.145
'0:00.416';1.235;0.015
'0:00.420';0.245;0.12
'0:00.424';-1.635;0.05
'0:00.428';-0.75;0.04
'0:00.432';1.26;0.11
'0:00.436';0.705;0.115
'0:00.440';-1.385;0
'0:00.444';-0.99;-0.175
'0:00.448';1.05;-0.115
'0:00.452';0.84;-0.095
'0:00.456';-1.29;-0.24
'0:00.460';-1.42;-0.35
'0:00.464';0.67;-0.31
'0:00.468';0.88;-0.16
'0:00.472';-1.2;-0.155
'0:00.476';-1.5;-0.285
'0:00.480';0.53;-0.27
'0:00.484';0.845;-0.155
'0:00.488';-1.225;-0.14
'0:00.492';-1.655;-0.25
'0:00.496';0.35;-0.255
'0:00.500';0.82;-0.18
'0:00.504';-1.185;-0.175
'0:00.508';-1.71;-0.32
'0:00.512';0.33;-0.3
'0:00.516';0.875;-0.19
'0:00.520';-1.09;-0.175
'0:00.524';-1.69;-0.31
'0:00.528';0.28;-0.305
'0:00.532';0.885;-0.185
'0:00.536';-1.045;-0.225
'0:00.540';-1.75;-0.295
'0:00.544';0.175;-0.28
'0:00.548';1.02;-0.135
'0:00.552';-0.87;0.05
'0:00.556';-1.855;0.135
'0:00.560';0.04;0.225
'0:00.564';1.59;0.315
'0:00.568';0.375;0.38
'0:00.572';-0.855;0.54
'0:00.576';0.72;0.11
'0:00.580';2.395;-0.585
'0:00.584';1.375;-1.195
'0:00.588';-0.93;-1.59
'0:00.592';-0.605;-1.96
'0:00.596';0.845;-2.17
'0:00.600';-0.265;-2.265
'0:00.604';-2.32;-2.665
'0:00.608';-1.43;-2.605
'0:00.612';0.73;-1.84
'0:00.616';0.275;-1.15
'0:00.620';-1.625;-0.735
'0:00.624';-1;-0.445
'0:00.628';0.925;-0.12
'0:00.632';0.315;0.035
'0:00.636';-1.645;-0.045
'0:00.640';-1.105;-0.11
'0:00.644';0.885;-0.05
'0:00.648';0.415;0.015
'0:00.652';-1.62;-0.025
'0:00.656';-1.345;-0.13
'0:00.660';0.76;-0.045
'0:00.664';0.755;0.035
'0:00.668';-1.355;-0.01
'0:00.672';-1.61;-0.095
'0:00.676';0.435;-0.06
'0:00.680';1.02;0.045
'0:00.684';-0.93;0.05
'0:00.688';-1.895;-0.105
'0:00.692';-0.115;-0.055
'0:00.696';1.18;0.065
'0:00.700';-0.37;0.09
'0:00.704';-1.91;-0.02
'0:00.708';-0.55;-0.015
'0:00.712';1.105;0.06
'0:00.716';0.07;0.12
'0:00.720';-1.77;0.05
