Time;Ecg 1;Ecg 2
18:40:05.890;2455447.0;2442508.0
18:40:05.930;3439247.0;3418220.0
18:40:05.970;3710087.0;3686401.0
18:40:06.010;3646555.0;3622889.0
18:40:06.050;3435870.0;3413580.0
18:40:06.090;3169343.0;3148886.0
18:40:06.130;2890463.0;2871819.0
18:40:06.170;2620143.0;2602969.0
18:40:06.210;2367440.0;2351775.0
18:40:06.250;2135324.0;2121326.0
18:40:06.290;1924187.0;1911563.0
18:40:06.330;1732957.0;1721546.0
18:40:06.370;1560263.0;1549917.0
18:40:06.410;1404469.0;1395162.0
18:40:06.450;1264250.0;1255834.0
18:40:06.490;1137974.0;1130381.0
18:40:06.530;1024507.0;1017991.0
18:40:06.570;922221.0;916455.0
18:40:06.610;829961.0;824633.0
18:40:06.650;748123.0;741825.0
18:40:06.690;671178.0;668067.0
18:40:06.730;604339.0;601241.0
18:40:06.770;544171.0;541276.0
18:40:06.810;489992.0;487410.0
18:40:06.850;441447.0;439174.0
18:40:06.890;397454.0;395495.0
18:40:06.930;357371.0;355482.0
18:40:06.970;321160.0;319090.0
18:40:07.010;288853.0;286806.0
18:40:07.050;259925.0;257983.0
18:40:07.090;234011.0;232122.0
18:40:07.130;210527.0;208677.0
18:40:07.170;189423.0;187712.0
18:40:07.210;170512.0;168967.0
18:40:07.250;153584.0;152267.0
18:40:07.290;138524.0;137463.0
18:40:07.330;124622.0;123392.0
18:40:07.370;112264.0;110811.0
18:40:07.410;100213.0;106909.0
18:40:07.450;90854.0;93171.0
18:40:07.490;82326.0;82325.0
18:40:07.530;74433.0;73524.0
18:40:07.570;67460.0;66410.0
18:40:07.610;61030.0;60233.0
18:40:07.650;54716.0;53931.0
18:40:07.690;48667.0;47536.0
18:40:07.730;43247.0;42012.0
18:40:07.770;38551.0;37430.0
18:40:07.810;34531.0;33671.0
18:40:07.850;31016.0;30219.0
18:40:07.890;27804.0;26991.0
18:40:07.930;24978.0;24201.0
18:40:07.970;22592.0;22220.0
18:40:08.010;20251.0;19982.0
18:40:08.050;18071.0;17677.0
18:40:08.090;18018.0;15958.0
18:40:08.130;14645.0;14544.0
18:40:08.170;13314.0;13293.0
18:40:08.210;12277.0;12363.0
18:40:08.250;11582.0;11783.0
18:40:08.290;11223.0;11670.0
18:40:08.330;10416.0;11059.0
18:40:08.370;9080.0;9627.0
18:40:08.410;7667.0;7907.0
18:40:08.450;6614.0;6840.0
18:40:08.490;5695.0;5986.0
18:40:08.530;4848.0;5158.0
18:40:08.570;4220.0;4293.0
18:40:08.610;3538.0;3613.0
18:40:08.650;2980.0;3053.0
