Time;Ecg 1;Ecg 2
21:03:43.061;2429856.0;2413905.0
21:03:43.101;3401762.0;3379378.0
21:03:43.141;3669071.0;3645122.0
21:03:43.181;3605932.0;3582835.0
21:03:43.221;3397060.0;3374923.0
21:03:43.261;3133171.0;3112489.0
21:03:43.301;2858546.0;2843102.0
21:03:43.341;2591485.0;2575843.0
21:03:43.381;2341690.0;2326704.0
21:03:43.421;2112333.0;2098540.0
21:03:43.461;1903672.0;1891278.0
21:03:43.501;1714780.0;1703990.0
21:03:43.541;1543968.0;1534605.0
21:03:43.581;1389549.0;1380720.0
21:03:43.621;1250411.0;1242117.0
21:03:43.661;1125324.0;1117705.0
21:03:43.701;1012813.0;1005908.0
21:03:43.741;911507.0;905275.0
21:03:43.781;820349.0;814639.0
21:03:43.821;738232.0;733095.0
21:03:43.861;664349.0;659694.0
21:03:43.901;597814.0;593693.0
21:03:43.941;538023.0;534315.0
21:03:43.981;484390.0;481371.0
21:03:44.021;435980.0;433161.0
21:03:44.061;392248.0;389457.0
21:03:44.101;353460.0;350114.0
21:03:44.141;317275.0;315232.0
21:03:44.181;285780.0;284020.0
21:03:44.221;257387.0;255898.0
21:03:44.261;231850.0;230730.0
21:03:44.301;208977.0;208335.0
21:03:44.341;188317.0;188296.0
21:03:44.381;169385.0;169428.0
21:03:44.421;152082.0;151659.0
21:03:44.461;136761.0;136073.0
21:03:44.501;123029.0;122335.0
21:03:44.541;110666.0;110016.0
21:03:44.581;99531.0;98884.0
21:03:44.621;89510.0;88877.0
21:03:44.661;80543.0;79933.0
21:03:44.701;72405.0;71849.0
21:03:44.741;65092.0;64609.0
21:03:44.781;58639.0;58271.0
21:03:44.821;52912.0;52892.0
21:03:44.861;47474.0;47292.0
21:03:44.901;42613.0;42286.0
21:03:44.941;39263.0;40511.0
21:03:44.981;35040.0;35401.0
21:03:45.021;31419.0;31458.0
21:03:45.061;28222.0;28298.0
21:03:45.101;25581.0;25746.0
21:03:45.141;23288.0;23812.0
21:03:45.181;21066.0;21925.0
21:03:45.221;18740.0;19326.0
21:03:45.261;16546.0;16705.0
21:03:45.301;14775.0;14719.0
21:03:45.341;13261.0;13160.0
21:03:45.381;11903.0;11764.0
21:03:45.421;10652.0;10510.0
21:03:45.461;9582.0;9415.0
21:03:45.501;8640.0;8479.0
21:03:45.541;7748.0;7672.0
21:03:45.581;7074.0;7341.0
21:03:45.621;6317.0;6298.0
21:03:45.661;5554.0;5361.0
21:03:45.701;5971.0;6538.0
21:03:45.741;4946.0;5135.0
21:03:45.781;4296.0;4398.0
21:03:45.821;3837.0;4011.0
21:03:45.861;3617.0;3957.0
21:03:45.901;3532.0;4236.0
21:03:45.941;3306.0;4362.0
21:03:45.981;2694.0;3453.0
21:03:46.021;2093.0;2391.0
21:03:46.061;1722.0;1808.0
21:03:46.101;1536.0;1476.0
21:03:46.141;1378.0;1262.0
21:03:46.181;1207.0;1024.0
21:03:46.221;1044.0;842.0
21:03:46.261;890.0;693.0
21:03:46.301;791.0;590.0
21:03:46.341;779.0;831.0
21:03:46.381;849.0;1099.0
21:03:46.421;576.0;546.0
21:03:46.461;347.0;201.0
21:03:46.501;370.0;6437.0
21:03:46.541;423.0;3002.0
21:03:46.581;489.0;1325.0
21:03:46.621;583.0;691.0
21:03:46.661;711.0;649.0
21:03:46.701;939.0;1149.0
21:03:46.741;883.0;1398.0
21:03:46.781;473.0;533.0
21:03:46.821;84.0;-302.0
21:03:46.861;-37.0;-578.0
21:03:46.901;-15.0;-616.0
21:03:46.941;-71.0;-608.0
21:03:46.981;-57.0;-613.0
21:03:47.021;-117.0;-668.0
21:03:46.876;-165.0;-650.0
21:03:46.916;-295.0;-617.0
21:03:46.956;-201.0;-69.0
21:03:46.996;-230.0;-231.0
